8 450.71 536.92 156.69 117.41 188.91 197.95 168.49 180.68
16 857.13 1006.13 252.03 200.64 177.28 157.53 350.13 334.65
32 1710.68 2088.53 603.41 405.75 369.92 324.37 227.09 345.27
64 3242.07 4048.69 1168.65 795.03 627.97 690.64 527.24 634.06
128 6878.48 8199.45 2281.64 1649.01 1126.11 1224.10 790.31 1247.56
256 12467.33 16229.46 4625.13 3248.87 2148.69 2403.78 1584.00 2449.89
512 26200.35 32653.13 9202.90 6466.36 4223.51 4707.42 3413.96 5160.08
1024 51747.01 64982.25 18530.50 12921.69 8300.16 9656.49 6327.46 9674.54
2048 106731.21 130393.24 36691.00 26161.89 16552.58 19420.63 12562.96 20543.81
4096 251317.19 260211.56 74457.01 51899.95 33257.69 38909.84 25823.79 41962.69
8192 403579.76 537453.90 153996.56 106941.84 68734.14 79725.35 54010.45 80818.13
16384 920736.75 1039109.85 293216.60 212845.25 128554.87 148928.66 88449.98 188102.01
32768 1712144.69 2055759.88 557680.27 226131.57 67764.22 121429.78 210998.38 338209.62
65536 3427248.06 4318466.89 1112791.44 894977.03 510682.08 662228.16 503484.05 593620.70
131072 7770195.88 8698487.53 2262813.56 1781991.81 1179298.94 378811.03 988857.91 1411011.56
