8 0.54 0.99 1.28 0.92 0.71 0.60 0.47 0.39
16 0.62 1.01 1.52 1.26 1.08 0.94 0.69 0.58
32 0.68 1.01 1.74 1.80 1.69 1.56 1.50 1.13
64 0.71 1.01 1.83 2.05 2.07 2.04 2.17 1.62
128 0.72 1.00 1.87 2.28 2.41 2.22 2.54 1.87
256 0.69 1.02 1.97 2.54 2.84 2.66 3.28 2.37
512 0.74 1.02 1.99 2.65 2.98 2.82 3.67 2.64
1024 0.72 1.03 2.01 2.70 3.08 2.93 3.89 2.79
2048 0.72 1.03 2.01 2.72 3.13 2.98 4.00 2.87
4096 0.73 1.03 2.01 2.73 3.16 3.00 4.04 2.90
8192 0.70 0.97 1.95 2.67 3.10 2.92 3.97 2.88
16384 0.72 1.03 2.01 2.73 3.17 3.03 4.04 2.91
32768 0.72 1.01 1.85 2.72 3.15 3.01 4.12 2.92
65536 0.71 1.02 1.93 2.68 3.09 2.95 3.95 2.87
131072 0.72 1.03 1.91 2.67 3.03 2.90 3.76 2.76
