8 0.68 0.87 2.84 2.30 0.68 0.64
16 0.72 0.89 3.43 2.98 1.58 2.07
32 0.76 0.89 3.86 3.70 1.91 2.97
64 0.70 0.89 4.19 4.17 3.15 3.50
128 0.75 0.88 4.15 4.28 3.23 3.58
256 0.75 0.89 4.32 4.41 4.00 3.84
512 0.79 0.89 4.41 4.70 4.27 4.30
1024 0.79 0.91 4.44 4.76 4.55 4.29
2048 0.79 0.92 4.45 4.78 4.58 4.32
4096 0.79 0.90 4.42 4.79 4.67 4.36
8192 0.78 0.89 4.38 4.77 4.67 4.38
16384 0.79 0.89 4.41 4.80 4.68 4.36
32768 0.79 0.89 4.38 4.75 4.65 4.31
65536 0.79 0.89 4.31 4.68 4.58 4.24
131072 0.79 0.89 4.26 4.61 4.50 4.17
