8 1.12 0.94 3.22 4.29 2.67 2.55 2.99 2.79
16 1.18 1.00 4.00 5.02 5.69 6.40 2.88 3.01
32 1.18 0.97 3.34 4.97 5.45 6.22 8.88 5.84
64 1.24 1.00 3.45 5.07 6.42 5.84 7.65 6.36
128 1.17 0.98 3.53 4.89 7.16 6.59 10.20 6.46
256 1.29 0.99 3.49 4.96 7.51 6.71 10.18 6.58
512 1.23 0.99 3.50 4.99 7.64 6.85 9.45 6.25
1024 1.25 0.99 3.48 4.99 7.77 6.68 10.20 6.67
2048 1.21 0.99 3.52 4.93 7.79 6.64 10.27 6.28
4096 1.03 0.99 3.47 4.97 7.76 6.63 9.99 6.15
8192 1.28 0.96 3.35 4.83 7.51 6.47 9.56 6.39
16384 1.12 0.99 3.52 4.85 8.03 6.93 11.67 5.49
32768 1.21 1.00 3.70 5.21 7.71 6.42 9.78 6.10
65536 1.20 0.96 3.71 4.61 8.08 6.23 8.20 6.96
131072 1.06 0.95 3.65 4.63 7.00 5.99 8.35 5.85
