8 0.94 0.91 7.91 7.59 1.01 1.01
16 0.95 0.91 8.27 7.55 2.95 6.92
32 0.96 0.91 8.19 6.80 2.90 6.68
64 0.92 0.91 8.46 7.55 5.82 7.23
128 0.92 0.89 8.48 7.31 5.40 7.03
256 0.96 0.91 8.64 7.67 7.29 7.51
512 0.96 0.91 8.67 7.64 7.27 7.46
1024 0.96 0.91 8.61 7.59 7.83 7.42
2048 0.96 0.92 8.69 7.61 7.88 7.44
4096 0.96 0.92 8.63 7.63 8.01 7.44
8192 0.95 0.92 8.23 7.39 7.88 7.32
16384 0.96 0.93 8.57 7.62 8.01 7.38
32768 1.01 0.95 6.79 6.85 8.47 7.52
65536 0.93 0.95 6.56 7.73 6.91 7.35
131072 0.89 0.97 6.63 7.59 8.13 7.11
